Year,Cluster,Indicator,Attribute,Value,Province,Area Council
2025,Education,Number Schools,primary,5.00E+06,Penama,East Ambae
2025,Education,Number Schools,primary,5.00E+06,Penama,South Ambae
2025,Education,Number Schools,primary,5.00E+06,Penama,North Maewo
2025,Education,Number Schools,primary,5.00E+06,Penama,South Maewo
2025,Education,Number Schools,primary,5.00E+06,Penama,North Pentecost
2025,Education,Number Schools,primary,5.00E+06,Penama,Central Pentecost 1
2025,Education,Number Schools,primary,5.00E+06,Penama,Central Pentecost 2
2025,Education,Number Schools,primary,5.00E+06,Penama,South Pentecost
2025,Education,Number Schools,primary,5.00E+06,Malampa,North West Malekula
2025,Education,Number Schools,primary,5.00E+06,Malampa,North East Malekula
2025,Education,Number Schools,primary,5.00E+06,Malampa,Central Malekula
2025,Education,Number Schools,primary,5.00E+06,Malampa,South West Malekula
2025,Education,Number Schools,primary,5.00E+06,Malampa,South East Malekula
2025,Education,Number Schools,primary,5.00E+06,Malampa,South Malekula
2025,Education,Number Schools,primary,5.00E+06,Malampa,North Ambrym
2025,Education,Number Schools,primary,5.00E+06,Malampa,West Ambrym
2025,Education,Number Schools,primary,5.00E+06,Malampa,South East Ambrym
2025,Education,Number Schools,primary,5.00E+06,Malampa,Paama
2025,Education,Number Schools,primary,5.00E+06,Shefa,Port Vila
2025,Education,Number Schools,primary,5.00E+06,Shefa,Vermali
2025,Education,Number Schools,primary,5.00E+06,Shefa,Vermaul
2025,Education,Number Schools,primary,5.00E+06,Shefa,Varisu
2025,Education,Number Schools,primary,5.00E+06,Shefa,South Epi
2025,Education,Number Schools,primary,5.00E+06,Shefa,North Tongoa
2025,Education,Number Schools,primary,5.00E+06,Shefa,Makimae
2025,Education,Number Schools,primary,5.00E+06,Shefa,Tongariki
2025,Education,Number Schools,primary,5.00E+06,Shefa,Nguna
2025,Education,Number Schools,primary,5.00E+06,Shefa,Emau
2025,Education,Number Schools,primary,5.00E+06,Shefa,Malorua
2025,Education,Number Schools,primary,5.00E+06,Shefa,North Efate
2025,Education,Number Schools,primary,5.00E+06,Shefa,Mele
2025,Education,Number Schools,primary,5.00E+06,Shefa,Tanvasoko
2025,Education,Number Schools,primary,5.00E+06,Shefa,Ifira
2025,Education,Number Schools,primary,5.00E+06,Shefa,Pango
2025,Education,Number Schools,primary,5.00E+06,Shefa,Erakor
2025,Education,Number Schools,primary,5.00E+06,Shefa,Eratap
2025,Education,Number Schools,primary,5.00E+06,Shefa,Eton
2025,Education,Number Schools,primary,5.00E+06,Tafea,North Erromango
2025,Education,Number Schools,primary,5.00E+06,Tafea,South Erromango
2025,Education,Number Schools,primary,5.00E+06,Tafea,Aniwa
2025,Education,Number Schools,primary,5.00E+06,Tafea,North Tanna
2025,Education,Number Schools,primary,5.00E+06,Tafea,West Tanna
2025,Education,Number Schools,primary,5.00E+06,Tafea,Middle Bush Tanna
2025,Education,Number Schools,primary,5.00E+06,Tafea,South West Tanna
2025,Education,Number Schools,primary,5.00E+06,Tafea,Whitesands
2025,Education,Number Schools,primary,5.00E+06,Tafea,South Tanna
2025,Education,Number Schools,primary,5.00E+06,Tafea,Futuna
2025,Education,Number Schools,primary,5.00E+06,Tafea,Aneityum
2025,Education,Number Schools,secondary,1.00E+07,Torba,Torres
2025,Education,Number Schools,secondary,1.00E+07,Torba,Ureparapara
2025,Education,Number Schools,secondary,1.00E+07,Torba,Motalava
2025,Education,Number Schools,secondary,1.00E+07,Torba,East Vanualava
2025,Education,Number Schools,secondary,1.00E+07,Torba,West Vanualava
2025,Education,Number Schools,secondary,1.00E+07,Torba,Mota
2025,Education,Number Schools,secondary,1.00E+07,Torba,East Gaua
2025,Education,Number Schools,secondary,1.00E+07,Torba,West Gaua
2025,Education,Number Schools,secondary,1.00E+07,Torba,Merelava
2025,Education,Number Schools,secondary,1.00E+07,Sanma,Luganville
2025,Education,Number Schools,secondary,1.00E+07,Sanma,North West Santo
2025,Education,Number Schools,secondary,1.00E+07,Sanma,Big Bay Coast
2025,Education,Number Schools,secondary,1.00E+07,Sanma,Big Bay Inland
2025,Education,Number Schools,secondary,1.00E+07,Sanma,West Santo
2025,Education,Number Schools,secondary,1.00E+07,Sanma,South Santo 1
2025,Education,Number Schools,secondary,1.00E+07,Sanma,South Santo 2
2025,Education,Number Schools,secondary,1.00E+07,Sanma,East Santo
